Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
"Senior Staff Software Engineer, Machine Learning, Search",₹4L - ₹6L (Glassdoor Est.),"Minimum qualifications:
Bachelor's degree or equivalent practical experience.
8 years of experience in software development, and with data structures/algorithms.
5 years of experience with design and architecture; and testing/launching software products.
7 years of experience with machine learning algorithms and tools (e.g., TensorFlow), artificial intelligence, deep learning and/or natural language processing.


Preferred qualifications:


Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",4.5,"Google
4.5",Bangalore,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Staff/Sr Software Engineer - Machine Learning,₹4L - ₹6L (Glassdoor Est.),"About the Role

About Customer Obsession ML team:

Customer Obsession ML team’s mission is to leverage the vast and varied data to develop intelligence that can make our customers’ support experience more efficient, personalized and effective. We work on a range of projects such as accurately identifying a customer’s need based on the contact text and trip signals, optimizing routing of contacts to support representatives for fastest resolution, intelligently escalating contacts that are related to safety or other time critical issues, and completely automating the support experience whenever possible. In addition to classic ML prediction models, we also work on latest deep learning language models, time series modeling, and causal inference. We own the entire ML lifecycle from data exploration and model development to deployment and monitoring the model in production.",4.4,"Uber
4.4",Hyderābād,10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Engineering Leader - Machine Learning,₹4L - ₹6L (Glassdoor Est.),"Eightfold was founded with a vision to solve for employment in our society. For decades, the connection between individuals and opportunities has been based on who the individuals are and the strength of their network, vs. their potential. Eightfold leverages artificial intelligence to transform how to think about skills and capabilities for individuals as well as how jobs and career decisions are made. Eightfold offers the industry’s first AI-powered Talent Intelligence Platform to transform how organizations plan, hire, develop and retain a diverse workforce, enabling individuals to transform their careers.
To date, Eightfold AI has received more than $410 million in funding and a valuation of over $2B from leading investors to further our mission of finding the right career for everyone in the world. If you are passionate about solving one of the most fundamental challenges of our society - employment, working on hard business problems, and being part of an amazing growth story - Eightfold is the place to be!
You may want to refer to the media coverage on TechCrunch and Reuters. Eightfold.ai is led by Ashutosh Garg, a PhD in Machine Learning/IIT Delhi alumni who managed Search and Personalization at Google, and IIT Bombay alumni, who led the News Feed Ranking team at Facebook and developed YouTube Search at Google.",3.7,"Eightfold.AI
3.7",India,501 to 1000 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Senior Machine Learning Engineer,₹4L - ₹6L (Glassdoor Est.),"About the Role

The Discovery is responsible for the end-to-end experience of the Feed and Search surfaces on the UberEats app. The group's mission is to build a reliable, scalable, and personalized platform to enable effortless discovery of food, groceries, pharmacy, and other verticals for consumers everywhere. As the world moves towards high adoption of delivery services, we believe that effortless discovery will be one of the biggest product differentiators in the years to come.

The group owns and operates business-critical backend services, search engines, knowledge graphs and several machine learning models, and hundreds of data pipelines that feed and monitor the models.

What the Candidate Will Need / Bonus Points


- Basic Qualifications -",4.4,"Uber
4.4",Hyderābād,10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
"Data & Analytics Lead, Geo Analytics - GAMMA",₹4L - ₹6L (Glassdoor Est.),"WHAT YOU'LL DO
As a Data & Analytics Manager, GeoAnalytics – GAMMA, you will be a critical leader of our GeoAnalytics capabilities. You will take formal ownership of key topics within GeoAnalytics by defining and executing strategies that includes advancing analytical capabilities, establishing core offerings, conducting business development activities, creating go-to-market content, and building an internal community around a topic. You will be solving a variety of location-based analytical problems for our clients by leading analytics teams within your technical workstream. You will be expected to establish a strong partnership with BCG case teams and clients. You will be responsible for scoping, framing, and delivering the technical workstream associated with client projects. You will utilize your knowledge of geospatial data and analytics to oversee use of a variety of tools of such as Geographic Information Systems (GIS), Python, and visualization/analytical platforms (ex. Tableau, Alteryx). You will identify and leverage a range of techniques such as geospatial clustering, network analysis, location-based optimization, and predictive analytics/modeling. Finally, you will be responsible for advising, managing, mentoring, and developing analysts through training, career guidance, and providing actionable feedback.

Our data analytics and artifical intelligence professionals mix deep domain expertise with advanced analytical methods and techniques to develop innovative solutions that help our clients tackle their most pressing issues. We design algorithms and build complex models out of large amounts of data.",4.1,"Boston Consulting Group
4.1",New Delhi,10000+ Employees,1963,Company - Private,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
Quant Analytics Associate Trainee,₹4L - ₹6L (Glassdoor Est.),"QUANT ANALYTICS ASSOCIATE TRAINEE
We are a reputed Export organization having turnover of around 100 crores. We are recruiting ‘Quantitative Analytics Associate Trainee’ for our ‘Investments and Wealth Management’ division. The person will be responsible for developing and implementing algorithms/strategies that help in better decision making for investments in real life stock market environment.
Job Responsibilities:
1. To provide quantitative analysis of trading data
2. To build statistical models for investing
3. To design investing algorithms.
The candidate will be required to work in a fast-paced, multi-tasking environment, analyzing large amount of data and developing prediction algorithms / regression models and implementing them in C++, R, MATLAB and python environments.",-1,Scan Holdings Pvt. Limited,India,10000+ Employees,1963,Company - Private,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
Data Scientist/ Data Analyst,₹4L - ₹6L (Glassdoor Est.),"Working Experience: 0 to 5 Years
Any candidate with Data Science Certifications or hands-on experience in Data Science/ Stat domain would be preferred.
Support our product, sales, leadership, and marketing teams with insights gained from analyzing company data.
The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action.
Experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms, and creating/running simulations.
Ability to drive business results with their data-based insights, comfortable working with a wide range of stakeholders and functional teams.",4.0,"Splashgain
4.0",Pune,51 to 200 Employees,2010,Company - Private,Internet & Web Services,Information Technology,$1 to $5 million (USD)
Data Scientist,₹4L - ₹6L (Glassdoor Est.),"Brighter futures start here
Anko is the global capability centre for Kmart Group Australia, fuelling growth aspirations of iconic Australian retail brands Kmart, Target and Anko. Based in Bangalore, India, we strive to accelerate retail innovation by building competitive capabilities in Technology, Data Sciences and Business Services that enable our brands to deliver delightful experiences to our in-store and online customers
Join our team, choose your own path and work on projects that excite you.
What you’ll be doing

Basic understanding of Cloud (AWS, Azure, etc.).
Develop & maintain data science solutions to drive incremental value for the Kmart GroupHypotheses driven solutioning to data science problemsAnalyse and model structured/unstructured data using advanced statistical methodsCommunicate findings to internal teams to enable business",3.4,"Kmart
3.4",Bangalore,10000+ Employees,1899,Subsidiary or Business Segment,General Merchandise & Superstores,Retail & Wholesale,$5 to $10 billion (USD)
Intership for statistics / data science students - with stipend,₹4L - ₹6L (Glassdoor Est.),"The Datahut internship program provides students a hands-on experience working in the data industry. Datahut works on some of the challenging problems in the web data integration industry. We work with some of the largest companies on the planet, helping them get data for their operations. The marketing team at Datahut helps educate decision-makers at large enterprises through our content and creatives.

We're inviting students with an excellent understanding of statistics and data to work on some exciting data problems. If you have good pattern recognition skills and data analysis skills - you're most welcome.

We get a lot of applications, and we obviously need to filter people. Here is a test for you. You're given the pricing data of two brands, Adidas and Nike. The standard deviation of pricing for Adidas is ""x,"" and for Nike is ""3x"". How would you interpret the pricing data? Include your answer in the application as a cover letter. You're free to be as creative as you can.",4.6,"Datahut
4.6",Cochin,1 to 50 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist / AI-ML Engineer,₹4L - ₹6L (Glassdoor Est.),"Description
Data Scientist / AI-ML Engineer
Duties and Responsibilities:
1. Research and Develop Innovative Solutions and Quantitative Models for positive impact on Hitachi’s business (e.g., Energy, Industry, Mobility, Smart Life and Financial Services).
2. Provide R&D support to Hitachi business units and group companies for commercialization of research prototypes. This includes Design, Implementation and Demonstration of Proof-of-Concept (PoC) and Working Proto-types,. Exploration of emerging tools, techniques, and technologies are expected.",3.8,"Hitachi India Pvt, Ltd.
3.8",Bangalore,10000+ Employees,1910,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
Data Scientist,₹4L - ₹6L (Glassdoor Est.),"It's fun to work in a company where people truly BELIEVE in what they are doing!
We're committed to bringing passion and customer focus to the business.
3-10 years in core Data Science & Machine Learning projects
Expert level proficiency in at least one of R and Python.
Ability to create efficient solutions to complex problems. Strong skills in data-structures and ML algorithms.
Experience of working on end-to-end data science pipeline: problem scoping, data gathering, EDA, modelling, insights, visualizations, monitoring and maintenance.
Problem-solving: Ability to break the problem into small parts and applying relevant techniques to drive required outcomes.",4.0,"Fractal Analytics
4.0",Bangalore,1001 to 5000 Employees,2000,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD)
Data Science & Analytics - SESG Team,₹4L - ₹6L (Glassdoor Est.),"Position Summary
Role and Responsibilities
Primary skills :- Data Science & Analytics
1. [Data Collecting and managing] Developing modules or scripts for collecting, sampling, cleaning and storing data in DB or file system. Creating validation and testing set for final metric evaluation.
2. [Data pre-processing ] Reflect the features of collected data well and design pre-processing algorithm that eases unnecessary complexity.
3. [Data modelling] Explore and design suitable machine learning model or deep learning algorithm or statistical model to solve business challenges.
4. [Metric Reporting] Defining metric which correlates with business outcome. Calculating and reporting optimized metric result for data.
5. [Root cause analysis] Finding root cause analytically or intuitively why algorithms did not perform well for certain data. What more is required to improve metric further over the data.",3.5,"Samsung Electronics
3.5",Bangalore,1001 to 5000 Employees,1938,Subsidiary or Business Segment,Computer Hardware Development,Information Technology,$10+ billion (USD)
Machine Learning Engineer,₹4L - ₹6L (Glassdoor Est.),"#Li-Post
HP is the world’s leading personal systems and printing company, we create technology that makes life better for everyone, everywhere. Our innovation springs from a team of individuals, each collaborating and contributing their own perspectives, knowledge, and experience to advance the way the world works and lives.
We are looking for visionaries, like you, who are ready to make a purposeful impact on the way the world works.
Responsibilities:
Build machine learning systems.
Offering Data Science Excellence to team in DS related modules.",4.2,"HP
4.2",Bangalore,10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Data Science Intern,₹4L - ₹6L (Glassdoor Est.),"About us
Discover Dollar’s mission is to help enterprises to create value by harnessing vast amount of unstructured data - in the form of email, chats, PDFs, and contract copies etc., using data-first approach using data science, AI and cutting-edge technologies.


Why Discover Dollar:


1. We are one of the great innovative product companies in the Finance space",4.9,"Discover Dollar
4.9",Remote,1 to 50 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist - PSA,₹4L - ₹6L (Glassdoor Est.),"Job Description
For years, Abbott’s medical device businesses have offered technologies that are faster, more effective, and less invasive. Whether it’s glucose monitoring systems, innovative therapies for treating heart disease, or products that help people with chronic pain or movement disorders, our medical device technologies are designed to help people live their lives better and healthier. Every day, our technologies help more than 10,000 people have healthier hearts, improve quality of life for thousands of people living with chronic pain and movement disorders, and liberate more than 500,000 people with diabetes from routine ﬁngersticks.
Abbott currently has an opportunity for a Data Scientist. The Data Scientist will work on a team of data scientists and engineers to deliver data science solutions. He or she will be responsible for working on complex problems in the field of life-saving implantable medical devices. He or she will use machine learning, artificial intelligence, statistical modeling, data mining, and visualization techniques to provide analytics solutions to a wide range of challenging projects. As a key member of the team, the candidate will develop solutions to curate and analyze large quantities of medical data. The candidate will work on projects that provide solutions to internal and external stakeholders. The candidate will collaborate effectively with internal stakeholders and cross-functional teams in India and the US. He or she will present solutions and insights in concise and effective manner to technical and non-technical audiences.",3.8,"Abbott Laboratories
3.8",Mumbai,10000+ Employees,1888,Company - Public,Healthcare Services & Hospitals,Healthcare,$10+ billion (USD)
Data Scientist - Graph Analytics (6-9 Years),₹4L - ₹6L (Glassdoor Est.),"We spend up to 90 percent of our lives in buildings, and we believe that everything people do in life deserves a flawless place to do it. In a world where our fundamental health, safety and wellbeing expectations have been deeply impacted with the anxiety of a new virus, buildings should offer a haven. Ideally, a perfect place to learn. A flawless place to grow. A perfect place to prosper.
While it’s true that today’s buildings should be efficient, reliable and safe – these characteristics alone don’t enable businesses and empower people the way a true smart building can.
How do you craft the future Smart Buildings? We’re looking for the makers of tomorrow, the hardworking individuals ready to help Siemens transform entire industries, cities and even countries. Get to know us from the inside, develop your skills on the job. Join our Pune team to make difference!",4.2,"Siemens Healthineers
4.2",Pune,10000+ Employees,1847,Company - Public,Healthcare Services & Hospitals,Healthcare,$10+ billion (USD)
Business Analyst (Analytics),₹4L - ₹6L (Glassdoor Est.),"About 24-7 Intouch
24-7 Intouch is a global customer care and technology company that provides value-driven, future-forward solutions. For over 20 years, we have been the people and technology behind the world’s biggest brands, empowering human potential through our artificial intelligence division, Laivly, and driving change for our client partners through actionable insights and analytics.
For more on our culture, follow the link to Our Story - https://youtu.be/a6CvsUKYN8g

About the Job",3.5,"24-7 Intouch
3.5",Hyderābād,10000+ Employees,2000,Company - Private,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD)
Data Science,₹4L - ₹6L (Glassdoor Est.),"#LI-Post
Responsibilities:
Independently develop and deliver data science projects/modules with medium to high complexity
Identify machine learning algorithms and methods best suited to solve specific business problem
Build robust code in Python, R etc. in data science projects
Understand business problem and provide solution using data science and analytics
Network with the organization to obtain required data from multiple sources
Data management for data science projects – Data extraction, validation, cleaning, processing and storage",4.2,"HP
4.2",Bangalore,10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Data scientist,₹4L - ₹6L (Glassdoor Est.),"Roles and responsibilities:
1. Data processing, cleaning and validating the integrity of data to be used for analytics

2. Data extraction using valuable data sources

3. Perform initial investigation and exploratory data analysis

4. Analyzing large amount of data to find patterns and solution

5. Build predictive machine learning models using alogorithms like regression, tree based, boosting etc

6. Develop econometric and statistical models for various problems including projections, classification, clustering, pattern analysis, sampling, simulations, and so forth.

7. Propose solutions and strategies to tackle complex business problems",4.4,"ICICI Prudential Life
4.4",Mumbai,10000+ Employees,2001,Private Practice / Firm,Insurance Carriers,Insurance,$10+ billion (USD)
Associate Data Scientist I,₹4L - ₹6L (Glassdoor Est.),"Role Proficiency:
Develop data-driven solutions for difficult business challenges. Utilizing analytical statistical and programming skills to collect analyze and interpret large data sets with supervision.

Outcomes:
Work with stakeholders throughout the organization to identify opportunities for leveraging data from our customers to create models that can generate business insights
Build predictive models and machine learning algorithms to analyse large amounts of information to discover trends and patterns.



































Additional Comments:",4.0,"UST
4.0",Bangalore,10000+ Employees,1999,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
"Fresher Data Analyst , Data Science , SQL , Python",₹4L - ₹6L (Glassdoor Est.),"Key skills :

Advanced Excel, word, PDF skills

Ability to work quickly manipulating and analyzing data

Ideally from a STEM background







Industry type
IT Services & Consulting
Functional area
Data Science & Analytics
Role
Data Analyst
Role category
Business Intelligence & Analytics
Employment type
Full Time, Permanent
Education
B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Any Specialization
Any Postgraduate
Doctorate Not Required...",-1,LeadIndia Manpower Services,Hassan,10000+ Employees,1999,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
Data Scientist,₹4L - ₹6L (Glassdoor Est.),"Must experience in :
AI Deep Learning
Machine Learning
NLP
SQL
Model Deployment
Cloud Computing
Data Engineering",4.2,"IBST Private Limited
4.2",Mumbai,1 to 50 Employees,2020,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
Data Science,₹4L - ₹6L (Glassdoor Est.),"Job Description: DATA SCIENTIST

Selecting features, building and optimizing classifiers using machine learning techniques

Data mining using state-of-the-art methods

Extending company’s data with third party sources of information when needed

Processing, cleansing, and verifying the integrity of data used for analysis",4.4,"Globussoft Technologies
4.4",Bangalore,201 to 500 Employees,2009,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD)
Python Machine Learning Engineer,₹4L - ₹6L (Glassdoor Est.),"ABOUT EVE WORLD
Eve World is a deep tech social media, community & e-commerce mobile super app; web3, DAO, Blockchain based, bridging the gap in providing freedom in the virtual world through relatable multi-format, entertaining content, creator and community tools.
THE ROLE
You will be working on our highly sophisticated web3.0 social commerce platform, contributing to our backend recommendations system which provide user recommendations to the user on the coto app.
The system will take multiple data sources to build user level recommended content, based on location, content consuming history, age and other parameters.",4.5,"Eve World Platform
4.5",Remote,51 to 200 Employees,2021,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable
Python Machine Learning Engineer,₹4L - ₹6L (Glassdoor Est.),"ABOUT EVE WORLD
Eve World is a deep tech social media, community & e-commerce mobile super app; web3, DAO, Blockchain based, bridging the gap in providing freedom in the virtual world through relatable multi-format, entertaining content, creator and community tools.
THE ROLE
You will be working on our highly sophisticated web3.0 social commerce platform, contributing to our backend recommendations system which provide user recommendations to the user on the coto app.
The system will take multiple data sources to build user level recommended content, based on location, content consuming history, age and other parameters.",4.2,"Eve World Platform
4.5",Remote,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Wobot.ai - Senior Machine Learning Engineer,₹4L - ₹6L (Glassdoor Est.),"Responsibilities:
Develop, optimize and deploy ultra-low latency Deep learning/ Machine Learning algorithms.
Research state of the art model compression and efficient model design techniques and enable the team to leverage these across a wide range of customer facing features.
Collaborate with the low-level software and hardware architecture teams to characterize the in-house ML models on our embedded platforms and optimize the models subject to the on device compute and memory constrains.
Requirements:
Good understanding of the fundamentals of deep learning with 2+ years of industrial experience.",4.3,"Wobot.ai
4.3",Remote,51 to 200 Employees,2017,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Data Scientist,₹4L - ₹6L (Glassdoor Est.),"Job Overview

We are looking for a Data Scientist who will be responsible for discovering the information hidden in vast amounts of data, and help us to make smarter decisions to deliver better products. The ideal candidate would be the one who is expert in figuring out business opportunities using machine learning techniques. This role requires a proven ability to drive business results with their data-based insights. In this role, you will develop an extensive knowledge of PayNearby’s overall business and will work with various stakeholders from time to time",4.3,"PayNearby
4.3",Mumbai,1001 to 5000 Employees,2016,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable
DATA SCIENCE INTERNSHIP,₹4L - ₹6L (Glassdoor Est.),"We are hiring candidates for a Free Data Science internship program Which includes 6 months training+3 months internship. Completely free of cost. 100% placement assurance.
job location: Ernakulam
Contact for further details.
Job Type: Full-time
Salary: From ₹13,000.00 per month
Benefits:
Paid sick time",-1,Eduzell Technologies and Solutions LLP,Eranakulam,1001 to 5000 Employees,2016,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable
Data Scientist Intern,₹4L - ₹6L (Glassdoor Est.),"0-1 Years
Hyderabad | Full-Time Internship | Stipend - Performance-Based | Work from Office
Dec 24,2022 16:38:22
Job Title: Data Scientist Intern
Position Type: FullTime
Experience: 0 - 1 Years
Location Hyderabad | Full-Time Internship | Stipend - Performance-Based | Work from Office
Job Status Active",4.8,"PAGO Analytics
4.8",Hyderābād,51 to 200 Employees,2016,Company - Public,Financial Transaction Processing,Finance,Unknown / Non-Applicable
"Senior Staff Software Engineer, Machine Learning, Search",₹4L - ₹6L (Glassdoor Est.),"Minimum qualifications:
Bachelor's degree or equivalent practical experience.
8 years of experience in software development, and with data structures/algorithms.
5 years of experience with design and architecture; and testing/launching software products.
7 years of experience with machine learning algorithms and tools (e.g., TensorFlow), artificial intelligence, deep learning and/or natural language processing.


Preferred qualifications:


Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",4.5,"Google
4.5",Bangalore,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Data Scientist - IT,₹4L - ₹6L (Glassdoor Est.),"Job Location Mumbai

Job Description

About the Role:
Are you inspired by invention?
Is problem solving through teamwork in your DNA?
Do you like the idea of seeing how your work impacts the bigger picture?
Do you have passion to transform P&G while enabling better decision-making through advanced analytics and machine learning?
Do you enjoy enhancing business results and improving consumer's lives every single day?
If yes, Join P&G: we offer you a career in Information Technology, starting as Data Scientist in Mumbai.
We are a smart team of doers that work passionately to apply cutting edge advances in Data science and software to solve real-world challenges that will transform our customers’ and consumer’s experiences in ways we can’t even imagine yet. We invent new improvements every day.


Get hands-on into the details on Data Science, using state-of-the-art artificial intelligence, big data platforms and data visualization to discover solutions to problems requiring tremendous creativity. Partner with business leaders to fully understand the problem, and data engineers to automate & deploy your models into applications providing prescriptions to Sales and Marketing executives - that allow P&G to serve consumers worldwide in a better way.
You will analyze and model on big datasets – translating trillion’s daily consumer touchpoints and billions of consumers' behaviors to actionable recommendations
Active Collaboration across Business Teams.
Thinking Big and generating ideas with the Data Science team and stakeholders
Working with customers and cross-functional stakeholder teams to identify, disambiguate, and define problems
Scoping long-term solutions as a series of smaller, more manageable iterations.
Creating data science architectures and building scalable solutions.
Running simulations, measuring performance, building ML models, and designing optimization algorithms
Supporting existing models, while thinking about next generation solutions


Information Technology (IT) uses information and business knowledge to craft innovative solutions that change the way P&G runs business. IT in P&G is now assimilated into each and every business process, creating significant value through Digital Disruptions and Transformations. The broader IT team is sub-divided into Sales IT, Plant IT, Consumer IT, Data Science and Analytics, Data Engineering and Business Analytics, ensuring Data Driven Decision Making embeds across Sales, Marketing and Product Supply Functions. A career in IT with us will build your ownership and influencing skills and will provide you a breadth of experiences across multiple businesses, and depth of expertise.


We are an equal opportunity employer and value diversity at our company. Our mission of diversity and inclusion is: “Everyone valued. Everyone included. Everyone performing at their peak”.


We are a PVP (Purpose, Value and Principles) driven company, and Doing The Right Thing is at the heart of all our Business Actions.

Job Qualifications


2+ years of experience using scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R, SAS, Matlab, etc.)
You have a deep understanding of Statistics and Machine Learning, Optimization, and other advanced analytical models – and how to apply to real world problems
You have a master’s degree or PhD in a quantitative / computational field (Operation Research, Computer Science, Engineering, Applied Math, Statistics, Analytics, Data Science, Life-science, Physics etc.)
You are proud to write solid code. Python and Spark are favorites, not your top ones? We can teach you.
You have familiarity with beating data into submission with pandas, SQL, or Spark.
You have strong communication skills and prefer to chart your own course to get the job done.
You know how to tell a story with data.
You are curious and effective. (Sense a theme? The ability to recognize patterns is important).
You are a Prioritize, there are only so many hours in a day and your friends and family deserve some of it.
You value simplicity and understand that good enough is not a cop out.
You are creative and find that unique viewpoint to solve problems that make others run and cower.
You are collaborative in practicing Data Science as a team sport. We love to brainstorm together!
You are fluent in English (written and oral)


Spark, MapReduce, SQL, Hive
Microsoft Azure, Google Cloud Platform
Experience with Agile DevOps, Github, Jira, Confluence
Basic understanding of Business Intelligence Tools such as PowerBI, Spotfire, Tableau, etc. and/or UI frameworks (Flask, VueJS) to impress your business sponsors

Job Schedule Full time

Job Number R000068809

Job Segmentation Experienced Professionals (Job Segmentation)",4.2,"Procter & Gamble
4.2",Mumbai,10000+ Employees,1837,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
Engineering Leader - Machine Learning,₹4L - ₹6L (Glassdoor Est.),"Eightfold was founded with a vision to solve for employment in our society. For decades, the connection between individuals and opportunities has been based on who the individuals are and the strength of their network, vs. their potential. Eightfold leverages artificial intelligence to transform how to think about skills and capabilities for individuals as well as how jobs and career decisions are made. Eightfold offers the industry’s first AI-powered Talent Intelligence Platform to transform how organizations plan, hire, develop and retain a diverse workforce, enabling individuals to transform their careers.
To date, Eightfold AI has received more than $410 million in funding and a valuation of over $2B from leading investors to further our mission of finding the right career for everyone in the world. If you are passionate about solving one of the most fundamental challenges of our society - employment, working on hard business problems, and being part of an amazing growth story - Eightfold is the place to be!
You may want to refer to the media coverage on TechCrunch and Reuters. Eightfold.ai is led by Ashutosh Garg, a PhD in Machine Learning/IIT Delhi alumni who managed Search and Personalization at Google, and IIT Bombay alumni, who led the News Feed Ranking team at Facebook and developed YouTube Search at Google.",3.7,"Eightfold.AI
3.7",India,501 to 1000 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Staff/Sr Software Engineer - Machine Learning,₹4L - ₹6L (Glassdoor Est.),"About the Role

About Customer Obsession ML team:

Customer Obsession ML team’s mission is to leverage the vast and varied data to develop intelligence that can make our customers’ support experience more efficient, personalized and effective. We work on a range of projects such as accurately identifying a customer’s need based on the contact text and trip signals, optimizing routing of contacts to support representatives for fastest resolution, intelligently escalating contacts that are related to safety or other time critical issues, and completely automating the support experience whenever possible. In addition to classic ML prediction models, we also work on latest deep learning language models, time series modeling, and causal inference. We own the entire ML lifecycle from data exploration and model development to deployment and monitoring the model in production.",4.4,"Uber
4.4",Hyderābād,10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Senior Machine Learning Engineer,₹4L - ₹6L (Glassdoor Est.),"About the Role

The Discovery is responsible for the end-to-end experience of the Feed and Search surfaces on the UberEats app. The group's mission is to build a reliable, scalable, and personalized platform to enable effortless discovery of food, groceries, pharmacy, and other verticals for consumers everywhere. As the world moves towards high adoption of delivery services, we believe that effortless discovery will be one of the biggest product differentiators in the years to come.

The group owns and operates business-critical backend services, search engines, knowledge graphs and several machine learning models, and hundreds of data pipelines that feed and monitor the models.

What the Candidate Will Need / Bonus Points


- Basic Qualifications -",4.4,"Uber
4.4",Hyderābād,10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Quant Analytics Associate Trainee,₹4L - ₹6L (Glassdoor Est.),"QUANT ANALYTICS ASSOCIATE TRAINEE
We are a reputed Export organization having turnover of around 100 crores. We are recruiting ‘Quantitative Analytics Associate Trainee’ for our ‘Investments and Wealth Management’ division. The person will be responsible for developing and implementing algorithms/strategies that help in better decision making for investments in real life stock market environment.
Job Responsibilities:
1. To provide quantitative analysis of trading data
2. To build statistical models for investing
3. To design investing algorithms.
The candidate will be required to work in a fast-paced, multi-tasking environment, analyzing large amount of data and developing prediction algorithms / regression models and implementing them in C++, R, MATLAB and python environments.",-1,Scan Holdings Pvt. Limited,India,10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
"Data & Analytics Lead, Geo Analytics - GAMMA",₹4L - ₹6L (Glassdoor Est.),"WHAT YOU'LL DO
As a Data & Analytics Manager, GeoAnalytics – GAMMA, you will be a critical leader of our GeoAnalytics capabilities. You will take formal ownership of key topics within GeoAnalytics by defining and executing strategies that includes advancing analytical capabilities, establishing core offerings, conducting business development activities, creating go-to-market content, and building an internal community around a topic. You will be solving a variety of location-based analytical problems for our clients by leading analytics teams within your technical workstream. You will be expected to establish a strong partnership with BCG case teams and clients. You will be responsible for scoping, framing, and delivering the technical workstream associated with client projects. You will utilize your knowledge of geospatial data and analytics to oversee use of a variety of tools of such as Geographic Information Systems (GIS), Python, and visualization/analytical platforms (ex. Tableau, Alteryx). You will identify and leverage a range of techniques such as geospatial clustering, network analysis, location-based optimization, and predictive analytics/modeling. Finally, you will be responsible for advising, managing, mentoring, and developing analysts through training, career guidance, and providing actionable feedback.

Our data analytics and artifical intelligence professionals mix deep domain expertise with advanced analytical methods and techniques to develop innovative solutions that help our clients tackle their most pressing issues. We design algorithms and build complex models out of large amounts of data.",4.1,"Boston Consulting Group
4.1",New Delhi,10000+ Employees,1963,Company - Private,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
